x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,label
1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,NROI
0,0,1,1,-1,0,0,0,-1,-1,0,0,-2,-1,-1,-1,NROI
0,0,0,0,0,0,0,0,-1,0,0,0,-1,0,0,0,ROI
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ROI
0,0,0,-1,0,0,-1,-1,0,0,0,-1,0,0,-1,-1,ROI
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ROI
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ROI
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ROI
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ROI
0,1,1,2,0,1,1,1,0,0,0,1,0,0,0,0,NROI
0,1,1,1,0,0,0,1,-1,0,0,0,-1,-1,0,0,NROI
0,0,1,1,0,0,0,0,-1,-1,0,0,-1,-1,-1,0,NROI
0,0,1,1,-1,0,1,1,-1,-1,0,1,-2,-1,0,0,NROI
0,0,1,4,0,0,1,3,-1,0,1,3,-1,-1,0,2,NROI
-1,1,2,1,-2,0,1,1,-3,-1,0,1,-4,-2,0,1,NROI
-1,-5,-9,-14,0,-2,-5,-8,2,1,0,-3,3,4,5,2,NROI
1,-3,-10,-16,6,1,-6,-13,11,7,-1,-9,16,11,2,-6,NROI
-1,-3,-1,0,1,-1,-1,0,4,1,0,0,6,2,0,0,NROI
0,2,2,1,0,0,0,0,-1,-1,-1,-2,-2,-3,-3,-4,NROI
3,3,3,2,2,1,1,0,0,0,-1,-2,-1,-2,-2,-3,NROI
2,2,1,1,0,0,0,0,-1,-1,-1,-1,-3,-3,-2,-2,NROI
1,1,1,1,0,0,0,0,-1,-1,-1,-1,-2,-2,-2,-2,NROI
1,1,1,-1,0,0,0,0,-1,-1,-1,0,-2,-2,-2,1,NROI
-1,-1,-2,-2,0,0,-1,-2,0,0,0,-1,1,1,1,0,NROI
0,0,-1,-1,0,0,0,0,1,1,0,0,2,1,1,1,NROI
3,-8,-29,-51,4,0,-14,-36,2,4,-1,-19,1,4,6,-5,NROI
3,-3,-2,-4,12,0,-2,-5,26,7,0,-5,42,20,7,-1,NROI
-6,1,28,67,-10,-8,10,43,-9,-7,1,21,-6,-4,-2,7,NROI
-10,6,6,3,-29,1,9,3,-53,-13,7,3,-76,-35,-7,-2,NROI
-2,0,1,1,-5,0,2,1,-6,1,2,0,-7,-1,1,0,NROI
0,0,1,1,0,0,0,1,-1,0,0,0,-1,-1,-1,0,NROI
-1,0,0,1,-1,0,0,0,-1,-1,-1,0,-2,-1,-1,0,NROI
1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,ROI
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ROI
0,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,ROI
0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,NROI
0,1,4,3,0,0,0,3,-1,-1,-1,2,-1,0,2,0,NROI
-3,0,0,-4,1,0,-2,-3,-1,-1,-1,5,-5,0,10,23,NROI
-33,-44,-52,-54,-20,-15,-8,4,-4,10,23,38,17,28,35,42,NROI
0,0,0,0,-1,-1,-1,-1,0,0,0,0,0,0,0,0,ROI
0,0,0,0,-1,-1,-1,-1,0,0,0,0,0,0,0,0,ROI
-1,0,0,0,-2,0,0,0,-1,1,0,0,-1,0,0,-1,ROI
0,0,0,0,0,0,0,0,-1,-2,-2,-3,-1,-2,-4,-5,NROI
6,6,1,-2,6,6,0,-3,2,2,-4,-5,0,0,-5,-6,NROI
1,-1,-2,-2,0,-2,-3,-2,0,0,1,2,0,1,3,4,NROI
-6,-3,-2,4,-6,-3,-2,5,-1,0,1,7,0,1,2,8,NROI
-14,-6,4,17,-14,-6,5,17,-12,-5,4,15,-12,-5,4,15,NROI
-13,-4,2,5,-13,-4,2,5,-14,-4,4,8,-15,-3,4,10,NROI
1,0,-1,-2,1,0,-1,-2,2,0,-1,-2,3,0,-1,-2,NROI
2,1,0,-1,2,1,0,-1,1,1,-1,-2,1,0,-2,-3,NROI
-1,0,0,0,-1,0,0,-1,-2,-1,0,0,-2,-1,0,0,NROI
1,0,-2,-3,1,-1,-2,-3,1,0,0,-1,1,0,0,-1,NROI
0,0,-1,-4,0,0,-2,-4,2,2,-1,-5,2,2,-1,-5,NROI
3,1,0,-2,3,1,0,-2,2,0,-1,-3,2,0,-2,-3,NROI
2,1,0,-1,2,1,0,-2,1,0,-1,-2,1,0,-1,-2,NROI
1,0,0,-1,0,0,-1,-1,1,0,0,0,1,0,0,0,ROI
-1,-1,-2,-2,0,-1,-2,-2,0,0,0,-1,0,0,0,0,NROI
0,1,1,1,0,1,1,1,0,0,0,0,1,-1,-1,-1,NROI
1,1,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,NROI
0,0,-1,-1,0,0,-1,-1,0,0,0,0,0,0,0,0,ROI
-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,NROI
-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,NROI
-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,NROI
-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,NROI
-2,-2,-1,-1,-2,-2,-2,-1,0,0,0,0,0,1,1,1,NROI
-2,-2,-1,-1,-2,-2,-1,-1,0,0,1,1,0,1,1,1,NROI
-2,0,0,0,-2,0,0,0,0,0,0,0,1,1,1,1,ROI
0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,ROI
0,0,0,-1,0,0,0,-1,0,0,-1,-1,1,1,0,-1,NROI
0,0,0,0,0,0,0,0,0,0,-1,-1,0,0,0,-1,ROI
0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-2,-2,-2,NROI
0,0,0,0,0,0,0,0,-1,-1,-1,-1,-2,-2,-2,-2,NROI
0,0,0,0,0,0,0,0,-1,-1,-1,-1,-2,-2,-2,-2,NROI
1,1,1,1,0,1,1,1,-1,-1,0,0,-1,-1,-1,0,NROI
0,1,1,1,0,1,1,1,-1,0,0,0,-1,0,0,0,NROI
0,0,0,0,-1,0,0,0,-2,-1,0,0,-2,-1,0,0,ROI
0,1,1,2,0,0,1,2,-1,0,0,1,-1,0,0,0,NROI
0,0,1,3,0,0,1,3,-2,-1,0,3,-2,-2,0,3,NROI
-2,-1,1,3,-3,-1,1,3,-3,-1,0,2,-3,-2,0,2,NROI
-1,1,3,2,0,2,5,3,-2,-1,0,0,-3,-2,-2,-1,NROI
4,-3,-11,-21,5,0,-9,-20,10,6,0,-9,12,8,2,-6,NROI
4,-1,-3,-3,5,0,-2,-3,15,6,0,-5,18,9,1,-5,NROI
4,2,2,1,4,1,1,1,-1,-1,-1,-2,-1,-2,-2,-3,NROI
3,2,1,1,2,2,1,0,-1,-1,-1,-2,-1,-2,-2,-3,NROI
1,1,2,2,0,0,1,1,-2,-2,-1,0,-2,-3,-1,-1,NROI
1,1,1,1,0,0,0,0,-1,-1,-1,0,-1,-1,-1,-1,NROI
1,1,1,5,0,0,0,5,0,0,0,3,0,0,0,2,NROI
1,1,0,0,1,1,1,0,-1,-1,-1,-1,-2,-2,-2,-1,NROI
0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,1,ROI
-4,-1,3,-2,-3,-2,0,-1,3,0,-1,1,4,1,-1,1,NROI
12,-9,-28,-41,20,4,-18,-37,30,19,-5,-29,32,25,5,-19,NROI
0,0,0,4,0,-3,-1,3,8,-3,-5,-3,16,1,-5,-5,NROI
-15,15,48,67,-23,-3,28,60,-36,-25,3,42,-41,-36,-15,20,NROI
-5,0,2,2,-6,-2,0,2,-14,-4,1,3,-28,-8,0,0,NROI
-1,0,0,1,-1,0,0,0,-1,0,1,3,-4,-3,-1,1,NROI
0,0,0,1,0,0,0,1,1,0,-1,-1,0,-1,-1,-1,NROI
1,0,0,0,1,0,0,0,-2,-1,-1,-1,-3,-2,-2,-2,NROI
0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,ROI
1,0,0,0,1,0,0,0,1,-3,-2,-1,1,-1,-2,-2,NROI
0,0,0,0,0,0,0,0,0,1,0,-1,-1,1,2,1,ROI
-1,0,4,0,-1,0,0,0,-3,-3,3,18,-2,2,17,35,NROI
-53,-40,-20,-2,-47,-28,-6,10,-15,1,10,13,1,13,15,14,NROI
-7,-5,-5,1,0,-1,-3,0,0,1,0,-1,-2,0,1,-1,NROI
